area_en,project_name_en,project_name_ar,area_ar,area_id,nearest_landmark_en,nearest_landmark_ar,nearest_metro_en,nearest_metro_ar,nearest_mall_en,nearest_mall_ar,master_project_en,master_project_ar,latitude,longitude
AL Athbah,,,العذبة,0,,,,,,,,,,
AL BARARI,SEVENTH HEAVEN,سفنث هفن,البراري,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,Noor Bank Metro Station,محطة مترو نور بنك,,,,,,
AL FURJAN,EQUITI ARCADE,ايكويتي اركيد,الفرجان,0,Expo 2020 Site,موقع إكسبو 2020,Ibn Battuta Metro Station,محطة مترو ابن بطوطة,Ibn-e-Battuta Mall,ابن بطوطة مول,Jebel Ali Village Townhouses- Phase 1,قرية جبل علي تاون هاوسز- المرحلة 1,,
AL KHAIL HEIGHTS,AL KHAIL HEIGHTS,الخيل هايتس,الخيل هايتس,0,Downtown Dubai,وسط مدينة دبي,Noor Bank Metro Station,محطة مترو نور بنك,Dubai Mall,مول دبي,,,,
AL WAHA,SIENNA  LAKES,سينا ليكس,الواحة,0,Dubai Cycling Course,دورة دبي للدراجات,,,,,,,,
ARABIAN RANCHES I,ASEEL,أصيل,المرابع العربية I,0,Global Village,قرية عالمية,Sharaf Dg Metro Station,محطة مترو شرف دي جي,Mall of the Emirates,مول الإمارات,,,,
ARABIAN RANCHES II,ARABIAN RANCHES - RASHA COMMUNITY,المرابع العربية - رشا كومينتى,المرابع العربية II,0,Motor City,موتور سيتي,,,,,,,,
ARABIAN RANCHES III,Arabian Ranches lll - Ruba, المرابع العربية ااا- ربى,المرابع العربية III,0,Hamdan Sports Complex,مجمع حمدان الرياضي,,,,,,,,
ARABIAN RANCHES POLO CLUB,POLO HOMES,منازل بولو,المرابع العربية - بولو كلوب,0,Motor City,موتور سيتي,,,,,,,,
ARJAN,Adhara Star, أدهارا ستار,ارجان,0,Motor City,موتور سيتي,Sharaf Dg Metro Station,محطة مترو شرف دي جي,Mall of the Emirates,مول الإمارات,Remraam - Al Ramth,رمرام - الرمث,,
Abu Hail,,,ابو هيل,0,Dubai International Airport,مطار دبي الدولي,Abu Baker Al Siddique Metro Station,محطة مترو أبو بكر الصديق,,,,,,
Al Aweer First,,,العوير الأولى,0,,,,,,,,,,
Al Aweer Second,,,العوير الثانية,0,,,,,,,,,,
Al Bada,,,البدع,0,Burj Khalifa,برج خليفة,Trade Centre Metro Station,محطة مترو المركز التجاري,Dubai Mall,مول دبي,,,,
Al Baraha,,,البراحه,0,Dubai International Airport,مطار دبي الدولي,Salah Al Din Metro Station,محطة مترو صلاح الدين,Dubai Mall,مول دبي,,,,
Al Barsha First,,,البرشاء الاولى,0,Burj Al Arab,برج العرب,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
Al Barsha Second,,,البرشاء الثانيه,0,Burj Al Arab,برج العرب,Sharaf Dg Metro Station,محطة مترو شرف دي جي,Mall of the Emirates,مول الإمارات,,,,
Al Barsha Third,,,البرشاء الثالثه,0,Burj Al Arab,برج العرب,Dubai Internet City,مدينة دبي للإنترنت,Mall of the Emirates,مول الإمارات,,,,
Al Barshaa South First,,,البرشاء جنوب الاولى,0,Motor City,موتور سيتي,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
Al Barshaa South Second,,,البرشاء جنوب الثانية,0,Motor City,موتور سيتي,Sharaf Dg Metro Station,محطة مترو شرف دي جي,Mall of the Emirates,مول الإمارات,,,,
Al Barshaa South Third,ORION BUILDING,بناية اوريون,البرشاء جنوب الثالثة,0,Motor City,موتور سيتي,Sharaf Dg Metro Station,محطة مترو شرف دي جي,Mall of the Emirates,مول الإمارات,,,,
Al Buteen,,,البطين,0,Dubai International Airport,مطار دبي الدولي,Al Ras Metro Station,محطة مترو الراس,Dubai Mall,مول دبي,,,,
Al Dhagaya,,,الضغايه,0,Dubai International Airport,مطار دبي الدولي,Palm Deira Metro Stations,محطات مترو نخلة ديرة,Dubai Mall,مول دبي,,,,
Al Eyas,,,العياص,0,,,,,,,,,,
Al Garhoud,,,القرهود,0,Dubai International Airport,مطار دبي الدولي,Airport Terminal 1 Metro Station,محطة مترو مبنى المطار رقم 1,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Goze First,,,القوز الاولى,0,Downtown Dubai,وسط مدينة دبي,Noor Bank Metro Station,محطة مترو نور بنك,Dubai Mall,مول دبي,,,,
Al Goze Fourth,,,القوز الرابعه,0,Downtown Dubai,وسط مدينة دبي,Noor Bank Metro Station,محطة مترو نور بنك,Dubai Mall,مول دبي,,,,
Al Goze Industrial First,,,القوز الصناعيه الاولى,0,Burj Al Arab,برج العرب,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
Al Goze Industrial Fourth,,,القوز الصناعيه الرابعه,0,Burj Al Arab,برج العرب,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
Al Goze Industrial Second,,,القوز الصناعيه الثانيه,0,Burj Al Arab,برج العرب,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
Al Goze Industrial Third,,,القوز الصناعيه الثالثه,0,Burj Al Arab,برج العرب,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
Al Goze Third,,,القوز الثالثه,0,Downtown Dubai,وسط مدينة دبي,Noor Bank Metro Station,محطة مترو نور بنك,Dubai Mall,مول دبي,,,,
Al Hamriya,,,الحمريه,0,Dubai International Airport,مطار دبي الدولي,Al Fahidi Metro Station,محطة مترو الفهيدي,Dubai Mall,مول دبي,,,,
Al Hebiah Fifth,DAMAC LAGOONS - MALTA (1),داماك لاجونز - مالتا (1),الحبيه الخامسة,0,,,,,,,,,,
Al Hebiah Fourth,Alicante villas,فلل اليكانتي,الحبيه الرابعة,0,,,,,,,,,,
Al Hebiah Second,,,الحبيه الثانية,0,,,,,,,,,,
Al Hebiah Sixth,Mudon Al Ranim 8,مدن الرنيم 8,الحبيه السادسة,0,,,,,,,,,,
Al Hebiah Third,DAMAC HILLS-BEL AIR,داماك هيلز-بلير,الحبية الثالثة,0,,,,,,,,,,
Al Hudaiba,,,الحضيبه,0,Burj Khalifa,برج خليفة,Trade Centre Metro Station,محطة مترو المركز التجاري,Dubai Mall,مول دبي,,,,
Al Jadaf,Keturah Resort,منتجع كتوراه,الجداف,0,,,,,,,,,,
Al Jafliya,,,الجافليه,0,Burj Khalifa,برج خليفة,Al Jafiliya Metro Station,محطة مترو الجافلية,Dubai Mall,مول دبي,,,,
Al Karama,,,الكرامه,0,Dubai International Airport,مطار دبي الدولي,Burjuman Metro Station,محطة مترو برجمان,Dubai Mall,مول دبي,,,,
Al Khabeesi,,,الخبيصى,0,Dubai International Airport,مطار دبي الدولي,Deira City Centre,ديرة سيتي سنتر,Dubai Mall,مول دبي,,,,
Al Khairan First,Oria,اوريا,الخيران الأولى,0,Dubai International Airport,مطار دبي الدولي,Creek Metro Station,محطة مترو الخور,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Khawaneej First,,,الخوانيج الأولى,0,,,Etisalat Metro Station,محطة مترو اتصالات,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Khawaneej Second,,,الخوانيج الثانية,0,,,,,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Kheeran,,,الخيران,0,Dubai International Airport,مطار دبي الدولي,Emirates Metro Station,محطة مترو الامارات,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Kifaf,Park Views Residences B, B بارك فيوز ريزيدنسيز ,الكفاف,0,Burj Khalifa,برج خليفة,Al Jafiliya Metro Station,محطة مترو الجافلية,Dubai Mall,مول دبي,,,,
Al Lusaily,,,اللسيلى,0,,,,,,,,,,
Al Mamzer,,,الممزر,0,Dubai International Airport,مطار دبي الدولي,STADIUM Metro Station,محطة مترو الاستاد,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Manara,,,المناره,0,Burj Al Arab,برج العرب,Noor Bank Metro Station,محطة مترو نور بنك,Mall of the Emirates,مول الإمارات,,,,
Al Mararr,,,المرر,0,Dubai International Airport,مطار دبي الدولي,Palm Deira Metro Stations,محطات مترو نخلة ديرة,Dubai Mall,مول دبي,,,,
Al Merkadh,Sobha Creek Vistas Heights,شوبا كريك فيستا هايتس,المركاض,0,,,,,,,,,,
Al Mizhar First,,,المزهر الاولى,0,Dubai International Airport,مطار دبي الدولي,Etisalat Metro Station,محطة مترو اتصالات,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Mizhar Second,,,المزهر الثانيه,0,Dubai International Airport,مطار دبي الدولي,Etisalat Metro Station,محطة مترو اتصالات,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Mizhar Third,,,المزهر الثالثة,0,Dubai International Airport,مطار دبي الدولي,Etisalat Metro Station,محطة مترو اتصالات,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Murqabat,,,المرقبات,0,Dubai International Airport,مطار دبي الدولي,Salah Al Din Metro Station,محطة مترو صلاح الدين,Dubai Mall,مول دبي,,,,
Al Muteena,,,المطينه,0,Dubai International Airport,مطار دبي الدولي,Salah Al Din Metro Station,محطة مترو صلاح الدين,Dubai Mall,مول دبي,,,,
Al Nahda First,,,النهده الاولى,0,Dubai International Airport,مطار دبي الدولي,STADIUM Metro Station,محطة مترو الاستاد,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Nahda Second,,,النهده الثانيه,0,Dubai International Airport,مطار دبي الدولي,Al Nahda Metro Station,محطة مترو النهضة,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Qusais First,,,القصيص الاولى,0,Dubai International Airport,مطار دبي الدولي,Airport Free Zone,المنطقة الحرة بالمطار,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Qusais Industrial Fifth,,,القصيص الصناعيه الخامسه,0,Dubai International Airport,مطار دبي الدولي,Al Qusais Metro Station,محطة مترو القصيص,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Qusais Industrial First,,,القصيص الصناعيه الاولى,0,Dubai International Airport,مطار دبي الدولي,Airport Free Zone,المنطقة الحرة بالمطار,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Qusais Industrial Fourth,RASHA 2,رشا 2,القصيص الصناعيه الرابعه,0,Dubai International Airport,مطار دبي الدولي,Airport Free Zone,المنطقة الحرة بالمطار,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Qusais Industrial Second,,,القصيص الصناعيه الثانيه,0,Dubai International Airport,مطار دبي الدولي,Airport Free Zone,المنطقة الحرة بالمطار,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Qusais Industrial Third,,,القصيص الصناعيه الثالثه,0,Dubai International Airport,مطار دبي الدولي,Al Nahda Metro Station,محطة مترو النهضة,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Qusais Second,,,القصيص الثانيه,0,Dubai International Airport,مطار دبي الدولي,Al Qusais Metro Station,محطة مترو القصيص,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Raffa,,,الرفاعه,0,Burj Khalifa,برج خليفة,Al Ghubaiba Metro Station,محطة مترو الغبيبة,Dubai Mall,مول دبي,,,,
Al Ras,,,الراس,0,Dubai International Airport,مطار دبي الدولي,Al Ras Metro Station,محطة مترو الراس,Dubai Mall,مول دبي,,,,
Al Rashidiya,,,الراشديه,0,Dubai International Airport,مطار دبي الدولي,Rashidiya Metro Station,محطة مترو الراشدية,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Rega,,,الرقه,0,Dubai International Airport,مطار دبي الدولي,Union Metro Station,محطة مترو الاتحاد,Dubai Mall,مول دبي,,,,
Al Rowaiyah Third,,,الرويه الثالثه,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,,,,,,,,
Al Sabkha,,,السبخه,0,Dubai International Airport,مطار دبي الدولي,Baniyas Square Metro Station,محطة مترو ميدان بني ياس,Dubai Mall,مول دبي,,,,
Al Saffa First,,,الصفا الاولى,0,Burj Khalifa,برج خليفة,Noor Bank Metro Station,محطة مترو نور بنك,Dubai Mall,مول دبي,,,,
Al Saffa Second,,,الصفا الثانيه,0,Burj Al Arab,برج العرب,Noor Bank Metro Station,محطة مترو نور بنك,Mall of the Emirates,مول الإمارات,,,,
Al Safouh First,,,الصفوح الاولى,0,Burj Al Arab,برج العرب,Sharaf Dg Metro Station,محطة مترو شرف دي جي,Mall of the Emirates,مول الإمارات,,,,
Al Satwa,Hyde Walk Residence by Imtiaz ,هايد ووك ريزيدنس من امتياز,السطوه,0,Burj Khalifa,برج خليفة,Trade Centre Metro Station,محطة مترو المركز التجاري,Dubai Mall,مول دبي,,,,
Al Suq Al Kabeer,,,السوق الكبير,0,Dubai International Airport,مطار دبي الدولي,Al Ras Metro Station,محطة مترو الراس,Dubai Mall,مول دبي,,,,
Al Thanyah Fifth,MERCER HOUSE,ميرسر هاوس,الثنيه الخامسة,0,,,,,,,,,,
Al Thanyah Third,The Lakes Ghadeer,البحيرات ? غدير,الثنيه الثالثة,0,Burj Al Arab,برج العرب,Nakheel Metro Station,محطة مترو النخيل,Marina Mall,مارينا مول,,,,
Al Ttay,,,الطي,0,,,,,,,,,,
Al Twar First,,,الطوار الاولى,0,Dubai International Airport,مطار دبي الدولي,Al Nahda Metro Station,محطة مترو النهضة,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Twar Fourth,,,الطوار الرابعة,0,Dubai International Airport,مطار دبي الدولي,Etisalat Metro Station,محطة مترو اتصالات,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Twar Second,,,الطوار الثانيه,0,Dubai International Airport,مطار دبي الدولي,Airport Free Zone,المنطقة الحرة بالمطار,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Twar Third,,,الطوار الثالثه,0,Dubai International Airport,مطار دبي الدولي,Al Qusais Metro Station,محطة مترو القصيص,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Waheda,,,الوحيده,0,Dubai International Airport,مطار دبي الدولي,Abu Hail Metro Station,محطة مترو أبو هيل,,,,,,
Al Warqa First,,,الورقاء الاولى,0,Dubai International Airport,مطار دبي الدولي,Rashidiya Metro Station,محطة مترو الراشدية,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Warqa Fourth,,,الورقاء الرابعه,0,Dubai International Airport,مطار دبي الدولي,Rashidiya Metro Station,محطة مترو الراشدية,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Warqa Second,,,الورقاء الثانيه,0,Dubai International Airport,مطار دبي الدولي,Rashidiya Metro Station,محطة مترو الراشدية,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Warqa Third,,,الورقاء الثالثه,0,Dubai International Airport,مطار دبي الدولي,Rashidiya Metro Station,محطة مترو الراشدية,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Warsan First,,,ورسان الاولى,0,,,,,,,,,,
Al Warsan Second,,,ورسان الثانيه,0,,,Rashidiya Metro Station,محطة مترو الراشدية,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Warsan Third,,,ورسان الثالثه,0,,,,,,,,,,
Al Wasl,Central Park Plaza,سنترال بارك بلازا ,الوصل,0,Burj Khalifa,برج خليفة,Business Bay Metro Station,محطة مترو الخليج التجاري,Dubai Mall,مول دبي,,,,
Al Yelayiss 1,,,اليلايس 1,0,Dubai Cycling Course,دورة دبي للدراجات,,,,,,,,
Al Yelayiss 2,THE MAYFAIR ,ذا ميفير ,اليلايس 2,0,,,,,,,,,,
Al Yelayiss 5,,,اليلايس 5,0,,,,,,,,,,
Al Yufrah 1,The Valley - Alana,ذا فالي - ألانا,اليفره 1,0,,,,,,,,,,
BARSHA HEIGHTS,I - RISE TOWER,رايز تاور - I,البرشاء هايتس,0,Burj Al Arab,برج العرب,Dubai Internet City,مدينة دبي للإنترنت,Mall of the Emirates,مول الإمارات,,,,
BLUEWATERS,Bluewaters Residences ,بلو واترز ريزيدنسز ,بلوز واترز,0,Burj Al Arab,برج العرب,Jumeirah Beach Residency,مساكن شاطئ جميرا,Marina Mall,مارينا مول,,,,
BURJ KHALIFA,Imperial  Avenue,امبيريال افنيو,برج خليفة,0,Downtown Dubai,وسط مدينة دبي,Business Bay Metro Station,محطة مترو الخليج التجاري,Dubai Mall,مول دبي,,,,
BUSINESS BAY,Ahad Residences,أحد ريزيدانسز,الخليج التجاري,0,Downtown Dubai,وسط مدينة دبي,Business Bay Metro Station,محطة مترو الخليج التجاري,Dubai Mall,مول دبي,,,,
Bukadra,Sobha Estates,شوبا استيتس ,بوكدرة,0,,,,,,,,,,
Business Bay,Trillionaire Residences by Binghatti,ترليونير ريزيدنسز من بن غاطي,الخليج التجارى,0,,,,,,,,,,
CHERRYWOODS,Cherrywoods,تشيري وودز,شيري ودووز,0,Dubai Cycling Course,دورة دبي للدراجات,,,,,,,,
CITY OF ARABIA,WADI TOWER,برج الوادي,ستي اوف اربيا,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,,,,,,,,
CITY WALK,Central Park at City Walk -Building 1,سنترال بارك في سيتي ووك - مبنى 1,ستي ووك,0,Burj Khalifa,برج خليفة,Buj Khalifa Dubai Mall Metro Station,محطة مترو بوج خليفة دبي مول,Dubai Mall,مول دبي,,,,
DAMAC HILLS,DAMAC HILLS - GOLF GATE 2,داماك هيلز - جولف جايت 2,داماك هيلز,0,Motor City,موتور سيتي,,,,,,,,
DISCOVERY GARDENS,,,الحدائق المكتشفة,0,Sports City Swimming Academy,أكاديمية المدينة الرياضية للسباحة,Harbour Tower,برج هاربور,Ibn-e-Battuta Mall,ابن بطوطة مول,,,,
DMCC-EZ2,J&G PLEXS,ج أند جي بليكس,مركز دبي للسلع المتعددة 2,0,Sports City Swimming Academy,أكاديمية المدينة الرياضية للسباحة,Harbour Tower,برج هاربور,Marina Mall,مارينا مول,,,,
DOWN TOWN JABAL ALI,Alexis Tower,برج أليكسيس,دون تاون جبل علي,0,Expo 2020 Site,موقع إكسبو 2020,UAE Exchange Metro Station,محطة مترو الإمارات العربية المتحدة للصرافة,Ibn-e-Battuta Mall,ابن بطوطة مول,,,,
DUBAI CREEK HARBOUR,Creek Beach - Savanna-Cedar-Mangrove,شاطئ الخور - سافانا-سيدار-مانجروف,دبي كريك هاربور,0,Dubai International Airport,مطار دبي الدولي,Creek Metro Station,محطة مترو الخور,City Centre Mirdif,سيتي سنتر مردف,,,,
DUBAI DESIGN DISTRICT,DESIGN QUARTER,ديزاين كوارتر,حي دبي للتصميم,0,Downtown Dubai,وسط مدينة دبي,Buj Khalifa Dubai Mall Metro Station,محطة مترو بوج خليفة دبي مول,Dubai Mall,مول دبي,,,,
DUBAI GOLF CITY,Paradise Hills,Paradise Hills,مدينة دبي للغولف,0,Sports City Swimming Academy,أكاديمية المدينة الرياضية للسباحة,,,,,,,,
DUBAI HARBOUR,Grand Bleu Tower interiors by Elie Saab,جراند بلو تاور، التصميم الداخلي لايلي صعب,دبي هاربور,0,,,,,,,,,,
DUBAI HEALTHCARE CITY - PHASE 1,,,مدينة دبي الطبية - المرحلة الاولى,0,Dubai International Airport,مطار دبي الدولي,Healthcare City Metro Station,محطة مترو مدينة الرعاية الصحية,Dubai Mall,مول دبي,,,,
DUBAI HEALTHCARE CITY - PHASE 2,AL WALEED GARDEN 2,الوليد جاردن 2,مدينة دبي الطبية - المرحلة الثانية,0,Downtown Dubai,وسط مدينة دبي,Al Jadaf Metro Station,محطة مترو الجداف,Dubai Mall,مول دبي,,,,
DUBAI HILLS,Park Field,بارك فيلد,دبي هيليز,0,Motor City,موتور سيتي,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,Hills Park,هيلز بارك,,
DUBAI INDUSTRIAL CITY,Al Haseen Residence,الحسين رسيدانس,مدينة دبي الصناعية,0,Dubai Parks and Resorts,دبي باركس اند ريزورتس,UAE Exchange Metro Station,محطة مترو الإمارات العربية المتحدة للصرافة,,,,,,
DUBAI INTERNATIONAL ACADEMIC CITY,,,مدينة دبي الاكاديمية الدولية,0,,,,,City Centre Mirdif,سيتي سنتر مردف,,,,
DUBAI INVESTMENT PARK FIRST,SCHON BUSINESS PARK,شون بيزنس بارك,مجمع دبي للاستثمار الاول,0,Expo 2020 Site,موقع إكسبو 2020,DANUBE Metro Station,محطة مترو الدانوب,Ibn-e-Battuta Mall,ابن بطوطة مول,,,,
DUBAI INVESTMENT PARK SECOND,RITAJ,ريتاج,مجمع دبي للاستثمار الثاني,0,Expo 2020 Site,موقع إكسبو 2020,DANUBE Metro Station,محطة مترو الدانوب,Ibn-e-Battuta Mall,ابن بطوطة مول,,,,
DUBAI LAND RESIDENCE COMPLEX,Samana IVY Gardens ,سمانا إيفي جارد نز,دبي لاند ريزيدنيس كموبلكس,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,,,,,,,,
DUBAI LIFESTYLE CITY,,,دبي لايف ستايل,0,Hamdan Sports Complex,مجمع حمدان الرياضي,,,,,,,,
DUBAI MARINA,Ciel,سيل,دبي مارينا,0,Burj Al Arab,برج العرب,Mina Seyahi,مينا السياحي,Marina Mall,مارينا مول,,,,
DUBAI MARITIME CITY,Oceanz 1 By Danube ,أوشنز 1 من دانوب ,مدينة دبي الملاحية,0,Burj Khalifa,برج خليفة,Al Ghubaiba Metro Station,محطة مترو الغبيبة,Dubai Mall,مول دبي,,,,
DUBAI PRODUCTION CITY,Samana Portofino,سمانا بورتوفينو,مدينة دبي للانتاج,0,Sports City Swimming Academy,أكاديمية المدينة الرياضية للسباحة,Damac Properties,عقارات داماك,Marina Mall,مارينا مول,,,,
DUBAI SCIENCE PARK,Opalz By Danube,أوبالز من دانوب,مجمع دبي للعلوم التقنية,0,Motor City,موتور سيتي,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
DUBAI SOUTH,CELESTIA,سيليستيا,دبي للجنوب,0,Expo 2020 Site,موقع إكسبو 2020,UAE Exchange Metro Station,محطة مترو الإمارات العربية المتحدة للصرافة,,,,,,
DUBAI SPORTS CITY,AMAL TOWER,برج امل,مدينة دبي الرياضية,0,Sports City Swimming Academy,أكاديمية المدينة الرياضية للسباحة,Nakheel Metro Station,محطة مترو النخيل,Marina Mall,مارينا مول,,,,
DUBAI STUDIO CITY,LAYA HEIGHTS,LAYA HEIGHTS,مدينة دبي للاستديو,0,Motor City,موتور سيتي,Sharaf Dg Metro Station,محطة مترو شرف دي جي,Mall of the Emirates,مول الإمارات,,,,
DUBAI WATER CANAL,CASA CANAL,كازا قنال,دبي واتر كنال,0,Burj Khalifa,برج خليفة,Business Bay Metro Station,محطة مترو الخليج التجاري,Dubai Mall,مول دبي,,,,
DUBAI WATER FRONT,BADRA PHASE 1,بدرة المرحلة الأولى,دبي واتر فرونت,0,Dubai Parks and Resorts,دبي باركس اند ريزورتس,UAE Exchange Metro Station,محطة مترو الإمارات العربية المتحدة للصرافة,,,,,,
