area_en,latitude,longitude
JUMEIRAH VILLAGE CIRCLE,25.0527521,55.20576633171218
SILICON OASIS,12.868538,77.66011288679321
DUBAI MARITIME CITY,25.2548579,55.2756623
Hadaeq Sheikh Mohammed Bin Rashid,25.119016594266267,55.26187658505671
JUMEIRAH VILLAGE TRIANGLE,25.0498433,55.1907008
DUBAI CREEK HARBOUR,25.197978,55.36037960558315
DUBAI HEALTHCARE CITY - PHASE 2,25.23181945,55.32250393537943
ARJAN,33.3677581,73.2316146
Marsa Dubai,25.23116035,55.34646274347939
MEYDAN ONE,25.1725019,55.28710370781371
Madinat Dubai Almelaheyah,34.2946143,-119.2032285743764
Al Wasl,25.1959326,55.2557371
Wadi Al Safa 4,25.0751088,55.3175621
SUFOUH GARDENS,25.1101377,55.1785377
TECOM SITE A,33.99556825,-81.02523096560711
TOWN SQUARE,36.0673381,-115.17638146667451
Madinat Al Mataar,24.890272,55.1428455
MAJAN,41.4690623,-2.3030166
Al Kifaf,25.2346273,55.298597312379904
BUSINESS BAY,25.18942655,55.26481901527489
ARABIAN RANCHES III,25.051092949999997,55.31808411322436
DUBAI SPORTS CITY,25.0321379,55.219353
Palm Deira,25.2761408,55.3016752
Al Merkadh,,
SOBHA HEARTLAND,52.437668599999995,-1.9106811829243893
Al Yufrah 1,25.0029883,55.4387395
Um Suqaim Third,-3.8888724,127.204474
JUMEIRAH GOLF,25.0203281,55.20083862592119
DUBAI HARBOUR,25.0956188,55.13800090659106
JADDAF WATERFRONT,25.22683115,55.33808609246107
DUBAI MARINA,25.0786415,55.1352524
Al Jadaf,25.2249103,55.3337479
DUBAI STUDIO CITY,25.0415641,55.2522587
BURJ KHALIFA,25.1970336,55.27413294647308
DUBAI HILLS,25.0974142,55.2684401
JUMEIRAH LAKES TOWERS,25.07238315,55.14374317909845
MBR DISTRICT 7,34.39227490086591,47.09951387210595
DUBAI PRODUCTION CITY,25.0321324,55.19130701407138
Al Hebiah Fourth,-37.006392950000006,174.89277654819733
AL FURJAN,25.0304736,55.1522307
DUBAI LAND RESIDENCE COMPLEX,25.0853591,55.382978
Al Aweer First,,
Business Bay,25.18942655,55.26481901527489
DUBAI WATER CANAL,25.1884394,55.2473226
LIVING LEGENDS,25.0850789,55.2981217
Jabal Ali First,-37.581014350000004,144.7407754735396
MINA RASHID,34.44654230213969,35.82016322544735
VILLANOVA,41.9591678,8.668422
Wadi Al Safa 7,25.0352976,55.2826859
Bukadra,25.1765148,55.3257751
Wadi Al Safa 5,25.0842543,55.3729759
Wadi Al Safa 3,25.10571265,55.316535293610826
MOTOR CITY,38.733792,-120.7404881
THE VALLEY,18.2145861,-63.0517759
Nad Al Shiba First,50.7885925,-1.8839369000000001
Al Yelayiss 2,1.34563295,103.73337090343747
PALM JUMEIRAH,25.1180879,55.1342009
Al Hebiah Fifth,,
DAMAC HILLS,25.0264384,55.251228
MBR DISTRICT 1,14.7694466,121.0797563
Madinat Hind 4,25.0077507,55.3637056
DOWN TOWN JABAL ALI,51.5181295,-0.078028
Al Hebiah Sixth,,
THE WORLD,25.23726785,55.195494157283456
THE FIELD,55.96384865,-3.27003503201289
Warsan First,25.2521287,55.365715576690505
INTERNATIONAL CITY PH 2 & 3,25.1316312,55.38673493715861
Wadi Al Safa 2,25.0987828,55.351406478118335
EMAAR SOUTH,24.8633475,55.1417885
Trade Center First,25.2299822,55.2865869
LIWAN,23.1100378,113.2136488
DUBAI DESIGN DISTRICT,25.188132,55.29744343116474
Palm Jumeirah,25.1180879,55.1342009
MEYDAN AVENUE,25.15913045,55.29614386605405
DISCOVERY GARDENS,25.0352571,55.1454134
CITY WALK,25.2081589,55.26187365641171
Jumeirah Third,25.197033599999997,55.27413294647308
DUBAI SCIENCE PARK,25.068451596904332,55.245708496699365
Dubai Investment Park First,34.717676,-82.289276
CHERRYWOODS,25.01600445,55.2909518531374
TILAL AL GHAF,25.02426745,55.22382996438196
NAD AL SHEBA GARDENS,25.1659652,55.307881779331815
LA MER,47.8163651,6.6048545
DUBAI INVESTMENT PARK SECOND,24.98204425,55.1964194133587
Ras Al Khor Industrial First,25.1797722,55.3345395
ARABIAN RANCHES II,25.03439685,55.27332788354515
REMRAAM,25.0013542,55.24885632771925
BARSHA HEIGHTS,25.0982842,55.1757823
EMIRATE LIVING,,
THE VILLA,39.6634456,-75.6427065
Al Mizhar First,25.2521287,55.365715576690505
Al Warqa Third,25.190661,55.4227553522109
DUBAI INDUSTRIAL CITY,24.8399006,55.0662934
JUMEIRAH BEACH RESIDENCE,25.0778021,55.13518094856796
Mirdif,25.2150727,55.4089036
INTERNATIONAL CITY PH 1,28.5095008,76.99405825015342
THE GREENS,35.76607995,-78.67345487078148
Al Hamriya,25.2599297,55.3031938
Al Warqa First,25.2521287,55.365715576690505
DUBAI SOUTH,24.9144391,55.1615128
THE LAKES,54.47853045,-3.06553306667584
JABEL ALI HILLS,24.9198548,55.00868
Al Mizhar Second,25.2521287,55.365715576690505
AL KHAIL HEIGHTS,25.15586015,55.2536875439334
JUMEIRAH LIVING,25.0875891,55.1471081
Zaabeel Second,25.20214795,55.280632481978394
Al Barsha Third,25.141327099999998,55.18539672753495
MIRA,39.7210593,-1.4395226
RUKAN,58.6359059,7.4070239
Al Satwa,25.2208602,55.2737617
Al Rashidiya,25.222025,55.3910064
JUMEIRA BAY,23.5499083,58.6434186
GRAND VIEWS,25.1456862,55.300144314906376
Al Goze First,25.19475815,55.27805910442858
ARABIAN RANCHES I,25.04875135,55.26728851815184
AL BARARI,25.118865,55.3209685
SERENA,41.4864628,-88.7312291
Al Khawaneej First,,
MUDON,-38.8905348,-70.06475043521885
Al Muteena,25.2700926,55.3106648
Muhaisanah First,25.2521287,55.365715576690505
Al Thanyah Fifth,53.3386883,-6.264935258768096
Zaabeel First,25.226715,55.29291535225927
BLUEWATERS,25.07954805,55.12170421845323
JUMEIRAH PARK,25.0469412,55.15481775751905
Al Manara,33.195939,35.5446083
Nad Al Hamar,25.22667895156149,55.376905321669966
Naif,40.4243517,-3.7018731
MILLENNIUM,40.7570832,-73.98479235463026
Al Twar Second,25.27122485,55.364130332632215
Al Barsha First,25.1071127,55.1984575
Nad Al Shiba Third,,
PEARL JUMEIRA,25.244474,55.25895972097338
SAMA AL JADAF,25.2521287,55.365715576690505
Port Saeed,25.2604609,55.3296278
Al Garhoud,25.2407367,55.3520393
Hor Al Anz,25.2822545,55.348484
JUMEIRAH ISLANDS,25.0570585,55.15614637904315
Jumeirah Second,54.526045100000005,-1.3278117402727267
Eyal Nasser,25.2521287,55.365715576690505
Al Barshaa South Second,38.733792,-120.7404881
Al Bada,28.4841608,35.0141103
FALCON CITY OF WONDERS,25.0955281,55.3393384
ARABIAN RANCHES POLO CLUB,25.03741425,55.25395447616396
LIWAN 2,25.2383938,51.4550558
Um Suqaim First,25.141327099999998,55.18539672753495
POLO TOWNHOUSES IGO,25.19475815,55.27805910442858
Al Warqa Fourth,,
JUMEIRAH HEIGHTS,25.06553675,55.14557004705467
Island 2,55.31299725,-1.5543085591851735
Mankhool,25.251801,55.29777548332489
DUBAI WATER FRONT,51.4066069,10.9742841
Hor Al Anz East,25.2822545,55.348484
Al Saffa Second,25.141327099999998,55.18539672753495
Ghadeer Al tair,25.1509135,55.2720063
Al Karama,25.2482136,55.3050609
Al Barshaa South Third,54.57111155,-1.2340866846418432
CITY OF ARABIA,25.0924395,55.336933
Nad Al Shiba Fourth,,
Abu Hail,25.2860287,55.328865
Me'Aisem First,25.0771249,55.135842
Al Jafliya,25.216522,55.2644949
Al Kheeran,24.44418755,54.45712945710038
Al Mamzer,25.2521287,55.365715576690505
MARSA AL ARAB,25.1443793,55.18950369674157
SUSTAINABLE CITY,25.030861,55.281554136970925
Al Suq Al Kabeer,25.2639134044859,55.29226263640029
Al Barsha Second,25.141327099999998,55.18539672753495
AL WAHA,30.0395508,31.372930856525823
Al Twar Fourth,25.2521287,55.365715576690505
Jumeirah First,21.41833505,39.82229506641366
Um Suqaim Second,25.141327099999998,55.18539672753495
Al Waheda,25.2915387,55.3373622
Nad Al Shiba Second,25.19475815,55.27805910442858
Al Mizhar Third,25.2521287,55.365715576690505
Jabal Ali Industrial First,24.982860074634765,55.11508202845593
Al Rowaiyah Third,,
Wadi Al Amardi,25.20929,55.4879092
Madinat Hind 3,25.029488,55.4254573
Nadd Hessa,25.1219309,55.3850506
AL Athbah,15.950245,44.183845
Oud Al Muteena First,25.2521287,55.365715576690505
Al Warqa Second,25.2521287,55.365715576690505
Al Barshaa South First,38.733792,-120.7404881
Al Hebiah Third,,
Muhaisanah Fourth,,
Al Khawaneej Second,,
Al Qusais Second,,
Al Goze Fourth,25.19475815,55.27805910442858
Al Nahda First,31.0666975,29.898911665838625
Al Eyas,25.27868915,51.4823162
Al Yelayiss 5,,
Al Hudaiba,25.2428328,55.279212
Palm Jabal Ali,24.9876012,55.02200636687711
Al Twar Third,,
Al Aweer Second,,
Saih Aldahal,,
Saih Shuaib 2,24.8578572,55.0608716
Um Al Sheif,25.141327099999998,55.18539672753495
Al Raffa,25.2542057,55.2879667
Al Nahda Second,30.99280655,29.84224736680252
Um Ramool,25.2310318,55.3674888
DUBAI INVESTMENT PARK FIRST,48.452858500000005,-123.36217172321923
Trade Center Second,14.6514242,121.02938725
Dubai Investment Park Second,24.98204425,55.1964194133587
Me'Aisem Second,26.21191054930193,-97.74299604450621
DUBAI GOLF CITY,25.01130525,55.23426739724147
PALM DEIRA,25.2761408,55.3016752
Warsan Fourth,,
HORIZON,49.5179943,-105.2259668
Hessyan First,,
Al Khabeesi,25.26610755,55.327714764160746
Al Goze Third,25.19475815,55.27805910442858
Al Thanyah Third,25.082474675775316,55.17228870982094
Dubai International Airport,25.2521287,55.365715576690505
Muhaisanah Third,25.2521287,55.365715576690505
Um Hurair First,25.2521287,55.365715576690505
Al Mararr,25.2521287,55.365715576690505
MEDYAN RACE COURSE VILLAS,25.19475815,55.27805910442858
Lehbab First,,
Al Qusais First,25.2521287,55.365715576690505
Al Lusaily,,
Rega Al Buteen,25.2521287,55.365715576690505
Al Rega,54.6899818,25.2639625
Nad Shamma,25.2177763,55.38384350452733
Ras Al Khor Industrial Second,25.19475815,55.27805910442858
Mushrif,25.2142599,55.4506587
Al Qusais Industrial Second,25.2521287,55.365715576690505
Al Murqabat,25.2521287,55.365715576690505
Saih Shuaib 4,24.8238246,55.0971343
Al Warsan First,,
Al Baraha,25.2809884,55.3195255
Al Ras,25.2687742,55.2936231
Al Twar First,25.2521287,55.365715576690505
Al Khairan First,37.4841014,-2.2924853
PALMAROSA,3.3715327,-75.6356918
Al Saffa First,25.197033599999997,55.27413294647308
Lehbab Second,,
DUBAI HEALTHCARE CITY - PHASE 1,25.23181945,55.32250393537943
Ras Al Khor Industrial Third,25.2521287,55.365715576690505
DMCC-EZ2,,
Madinat Latifa,24.8990386,55.2785861
Hessyan Second,,
Al Goze Industrial Third,25.141327099999998,55.18539672753495
Al Ttay,25.2321563,55.5563174
Oud Metha,25.2439301,55.3158939
DUBAI INTERNATIONAL ACADEMIC CITY,25.107765800000003,55.40161073290589
Al Dhagaya,25.2726408,55.3002405
Al Goze Industrial Second,,
Al Goze Industrial Fourth,,
Al Qusais Industrial Third,25.3260017,55.4331454
Al Warsan Second,,
Al Qusais Industrial Fourth,47.2093548,39.73828236270582
Al Qusais Industrial First,25.2521287,55.365715576690505
IBN BATTUTA ,25.0466788,55.1174939
PALM JABAL ALI,24.9876012,55.02200636687711
Jabal Ali,25.0578769,55.1273617
Al Goze Industrial First,25.141327099999998,55.18539672753495
Al Hebiah Second,,
Grayteesah,24.87115215,55.5072782974985
Al Safouh First,,
Muhaisanah Second,25.2521287,55.365715576690505
Al Sabkha,25.2692256,55.3024936
Al Warsan Third,,
Muragab,,
DUBAI LIFESTYLE CITY,25.04260265,55.28216284609378
Al Qusais Industrial Fifth,25.2521287,55.365715576690505
Al Buteen,25.2595231,55.3195095
Mena Jabal Ali,25.01605595,55.13787589174201
Saih Shuaib 1,24.9024228,55.0059684
Al Yelayiss 1,,
Nazwah,25.01878065,55.645710625367485
Mugatrah,24.7923464,55.1951843
